================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+---------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)   |
+------------+---------------------+---------------------------+---------------------+
| 1          | 0.00                | 0.00                      | 0.00                |
| 2          | 495.11              | 0.00                      | 495.11              |
| 3          | 303.41              | 0.00                      | 303.41              |
| 4          | 0.12                | 0.00                      | 0.12                |
| 5          | 172.54              | 0.00                      | 172.54              |
| 6          | 0.12                | 0.00                      | 0.12                |
| 7          | 172.54              | 0.00                      | 172.54              |
| 8          | 0.12                | 0.00                      | 0.12                |
| 9          | 182.00              | 0.00                      | 182.00              |
| 10         | 0.00                | 0.00                      | 0.00                |
| 11         | 90.56               | 0.00                      | 90.56               |
| 12         | 674.19              | 0.00                      | 674.19              |
| 13         | 0.12                | 0.00                      | 0.12                |
| 14         | 172.54              | 0.00                      | 172.54              |
| 15         | 0.12                | 0.00                      | 0.12                |
| 16         | 172.54              | 0.00                      | 172.54              |
| 17         | 0.12                | 0.00                      | 0.12                |
| 18         | 172.54              | 0.00                      | 172.54              |
| 19         | 0.12                | 0.00                      | 0.12                |
| 20         | 182.00              | 0.00                      | 182.00              |
| 21         | 355.26              | 0.00                      | 355.26              |
| 22         | 24.08               | 0.00                      | 24.08               |
| 23         | 314.66              | 0.00                      | 314.66              |
| 24         | 0.12                | 0.00                      | 0.12                |
| 25         | 172.54              | 0.00                      | 172.54              |
| 26         | 0.12                | 0.00                      | 0.12                |
| 27         | 172.54              | 0.00                      | 172.54              |
| 28         | 0.12                | 0.00                      | 0.12                |
| 29         | 172.54              | 0.00                      | 172.54              |
| 30         | 0.08                | 0.00                      | 0.08                |
| 31         | 0.12                | 0.00                      | 0.12                |
| 32         | 172.54              | 0.00                      | 172.54              |
| 33         | 0.12                | 0.00                      | 0.12                |
| 34         | 172.54              | 0.00                      | 172.54              |
| 35         | 0.12                | 0.00                      | 0.12                |
| 36         | 172.54              | 0.00                      | 172.54              |
| 37         | 0.12                | 0.00                      | 0.12                |
| 38         | 172.54              | 0.00                      | 172.54              |
| 39         | 0.12                | 0.00                      | 0.12                |
| 40         | 0.00                | 0.00                      | 0.00                |
| 41         | 172.54              | 0.00                      | 172.54              |
| 42         | 0.12                | 0.00                      | 0.12                |
| 43         | 172.54              | 0.00                      | 172.54              |
| 44         | 0.12                | 0.00                      | 0.12                |
| 45         | 172.54              | 0.00                      | 172.54              |
| 46         | 0.12                | 0.00                      | 0.12                |
| 47         | 172.54              | 0.00                      | 172.54              |
| 48         | 0.08                | 0.00                      | 0.08                |
| 49         | 0.00                | 0.00                      | 0.00                |
| 50         | 0.00                | 0.00                      | 0.00                |
| 51         | 0.12                | 0.00                      | 0.12                |
| 52         | 172.54              | 0.00                      | 172.54              |
| 53         | 0.12                | 0.00                      | 0.12                |
| 54         | 172.54              | 0.00                      | 172.54              |
| 55         | 0.12                | 0.00                      | 0.12                |
| 56         | 178.47              | 0.00                      | 178.47              |
| 57         | 0.00                | 0.00                      | 0.00                |
| 58         | 0.00                | 0.00                      | 0.00                |
| 59         | 0.00                | 0.00                      | 0.00                |
| 60         | 0.00                | 0.00                      | 0.00                |
| 61         | 0.00                | 0.00                      | 0.00                |
| 62         | 0.12                | 0.00                      | 0.12                |
| 63         | 172.54              | 0.00                      | 172.54              |
| 64         | 0.12                | 0.00                      | 0.12                |
| 65         | 182.00              | 0.00                      | 182.00              |
| 66         | 0.00                | 0.00                      | 0.00                |
| 67         | 0.00                | 0.00                      | 0.00                |
| 68         | 0.00                | 0.00                      | 0.00                |
| 69         | 0.00                | 0.00                      | 0.00                |
| 70         | 0.00                | 0.00                      | 0.00                |
| 71         | 0.00                | 0.00                      | 0.00                |
| 72         | 0.00                | 0.00                      | 0.00                |
| 73         | 0.12                | 0.00                      | 0.12                |
| 74         | 182.00              | 0.00                      | 182.00              |
| 75         | 0.00                | 0.00                      | 0.00                |
| 76         | 0.00                | 0.00                      | 0.00                |
| 77         | 0.00                | 0.00                      | 0.00                |
| 78         | 0.00                | 0.00                      | 0.00                |
| 79         | 0.00                | 0.00                      | 0.00                |
| 80         | 0.00                | 0.00                      | 0.00                |
| 81         | 0.00                | 0.00                      | 0.00                |
| 82         | 0.00                | 0.00                      | 0.00                |
| 83         | 0.00                | 0.00                      | 0.00                |
| 84         | 0.00                | 0.00                      | 0.00                |
| 85         | 0.00                | 0.00                      | 0.00                |
| 86         | 0.00                | 0.00                      | 0.00                |
| 87         | 0.00                | 0.00                      | 0.00                |
| 88         | 0.00                | 0.00                      | 0.00                |
| 89         | 0.00                | 0.00                      | 0.00                |
| 90         | 0.00                | 0.00                      | 0.00                |
| 91         | 0.00                | 0.00                      | 0.00                |
| 92         | 0.00                | 0.00                      | 0.00                |
| 93         | 0.00                | 0.00                      | 0.00                |
| 94         | 0.00                | 0.00                      | 0.00                |
| 95         | 0.00                | 0.00                      | 0.00                |
| 96         | 0.00                | 0.00                      | 0.00                |
| 97         | 0.00                | 0.00                      | 0.00                |
| 98         | 0.00                | 0.00                      | 0.00                |
| 99         | 0.00                | 0.00                      | 0.00                |
| 100        | 0.00                | 0.00                      | 0.00                |
+------------+---------------------+---------------------------+---------------------+
